Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Salary
Dylan Moore,31.0,SEA,AL,2.2,135.0,441.0,368.0,53.0,74.0,23.0,4.0,10.0,42.0,32.0,6.0,53.0,123.0,0.201,0.32,0.367,0.687,104.0,0.322,109.0,135.0,8.0,14.0,1.0,5.0,1.0,6547H3/8,GG,"$3,050,000 "
Harrison Bader,30.0,NYM,NL,0.9,143.0,437.0,402.0,57.0,95.0,19.0,0.0,12.0,51.0,17.0,8.0,21.0,95.0,0.236,0.284,0.373,0.657,87.0,0.287,84.0,150.0,6.0,8.0,0.0,6.0,1.0,*8H/D,,"$10,500,000 "
Mitch Garver,33.0,SEA,AL,-0.1,114.0,430.0,367.0,37.0,63.0,17.0,0.0,15.0,51.0,0.0,0.0,53.0,133.0,0.172,0.286,0.341,0.627,85.0,0.282,88.0,125.0,9.0,7.0,0.0,3.0,0.0,D2/H,,"$11,500,000 "
Luis Robert Jr.,26.0,CHW,AL,1.4,100.0,425.0,393.0,47.0,88.0,19.0,0.0,14.0,35.0,23.0,6.0,28.0,141.0,0.224,0.278,0.379,0.657,87.0,0.298,88.0,149.0,8.0,2.0,0.0,1.0,2.0,8/DH,,"$12,500,000 "
Mitch Haniger,33.0,SEA,AL,-0.2,121.0,423.0,380.0,42.0,79.0,12.0,0.0,12.0,44.0,0.0,0.0,40.0,126.0,0.208,0.286,0.334,0.62,84.0,0.281,87.0,127.0,10.0,2.0,0.0,1.0,0.0,9DH,,"$12,000,000 "
Masataka Yoshida,30.0,BOS,AL,1.4,108.0,421.0,378.0,45.0,106.0,21.0,0.0,10.0,56.0,2.0,0.0,27.0,52.0,0.28,0.349,0.415,0.765,114.0,0.341,114.0,157.0,6.0,14.0,0.0,2.0,0.0,DH/7,,"$18,000,000 "
Mickey Moniak,26.0,LAA,AL,-0.1,124.0,418.0,392.0,48.0,86.0,17.0,2.0,14.0,49.0,8.0,4.0,21.0,114.0,0.219,0.266,0.38,0.646,80.0,0.283,78.0,149.0,3.0,4.0,0.0,1.0,0.0,*89H/D7,,"$770,000 "
Connor Joe,31.0,PIT,NL,0.6,123.0,416.0,364.0,49.0,83.0,22.0,1.0,9.0,36.0,2.0,2.0,44.0,91.0,0.228,0.32,0.368,0.688,92.0,0.306,92.0,134.0,7.0,6.0,0.0,2.0,1.0,39H/7D,,"$2,125,000 "
Austin Wells,24.0,NYY,AL,2.5,115.0,414.0,354.0,42.0,81.0,18.0,1.0,13.0,55.0,1.0,2.0,47.0,87.0,0.229,0.322,0.395,0.718,104.0,0.318,104.0,140.0,9.0,5.0,1.0,7.0,0.0,*2H/D,ROY-3,"$1,551,564 "
J.T. Realmuto,33.0,PHI,NL,3.0,99.0,413.0,380.0,50.0,101.0,18.0,1.0,14.0,47.0,2.0,2.0,27.0,102.0,0.266,0.322,0.429,0.751,108.0,0.331,112.0,163.0,7.0,5.0,0.0,1.0,1.0,2,,"$23,875,000 "
Pete Crow-Armstrong,22.0,CHC,NL,2.3,123.0,410.0,372.0,46.0,88.0,13.0,6.0,10.0,47.0,27.0,3.0,21.0,98.0,0.237,0.286,0.384,0.67,87.0,0.3,82.0,143.0,4.0,6.0,8.0,3.0,2.0,*8H,,"$930,872 "
Lars Nootbaar,26.0,STL,NL,1.5,109.0,405.0,348.0,39.0,85.0,18.0,3.0,12.0,45.0,7.0,3.0,52.0,79.0,0.244,0.342,0.417,0.758,111.0,0.334,112.0,145.0,10.0,1.0,1.0,3.0,2.0,978/H,,"$761,000 "
Jon Singleton,32.0,HOU,AL,0.3,119.0,405.0,355.0,46.0,83.0,13.0,1.0,13.0,42.0,0.0,0.0,47.0,111.0,0.234,0.321,0.386,0.707,101.0,0.317,105.0,137.0,2.0,0.0,0.0,3.0,0.0,3HD,,"$850,000 "
Seth Brown,31.0,OAK,AL,-0.6,124.0,400.0,372.0,32.0,86.0,11.0,1.0,14.0,44.0,4.0,2.0,25.0,112.0,0.231,0.283,0.379,0.662,91.0,0.291,90.0,141.0,7.0,2.0,0.0,1.0,0.0,739H/D8,,"$2,600,000 "
Trevor Larnach,27.0,MIN,AL,1.3,112.0,400.0,355.0,59.0,92.0,17.0,0.0,15.0,52.0,4.0,1.0,40.0,89.0,0.259,0.338,0.434,0.771,115.0,0.341,117.0,154.0,12.0,3.0,0.0,2.0,1.0,7D9H,,"$660,348 "
Max Kepler,31.0,MIN,AL,1.0,105.0,399.0,368.0,43.0,93.0,21.0,1.0,8.0,42.0,1.0,0.0,22.0,80.0,0.253,0.302,0.38,0.682,90.0,0.315,98.0,140.0,3.0,5.0,0.0,3.0,0.0,9H/D,,"$10,000,000 "
Ke'Bryan Hayes,27.0,PIT,NL,0.8,96.0,396.0,365.0,38.0,85.0,9.0,0.0,4.0,25.0,11.0,2.0,23.0,75.0,0.233,0.283,0.29,0.573,61.0,0.267,60.0,106.0,12.0,4.0,0.0,4.0,1.0,5/H,,"$7,000,000 "
Korey Lee,25.0,CHW,AL,0.1,125.0,394.0,377.0,36.0,79.0,14.0,1.0,12.0,37.0,6.0,3.0,17.0,122.0,0.21,0.244,0.347,0.591,68.0,0.264,68.0,131.0,12.0,0.0,0.0,0.0,0.0,*2H/D,,"$745,000 "
David Fry,28.0,CLE,AL,1.4,122.0,392.0,335.0,44.0,88.0,18.0,1.0,14.0,51.0,4.0,1.0,42.0,84.0,0.263,0.356,0.448,0.804,129.0,0.352,128.0,150.0,13.0,9.0,0.0,4.0,4.0,DH237/59,AS,"$981,856 "
Santiago Espinal,29.0,CIN,NL,-0.4,118.0,391.0,357.0,32.0,88.0,12.0,0.0,9.0,45.0,11.0,1.0,24.0,54.0,0.246,0.295,0.356,0.65,78.0,0.294,73.0,127.0,7.0,2.0,4.0,4.0,1.0,54HD/679,,"$2,725,000 "
Bo Naylor,24.0,CLE,AL,0.7,123.0,389.0,354.0,39.0,71.0,10.0,2.0,13.0,39.0,6.0,3.0,29.0,122.0,0.201,0.264,0.35,0.614,74.0,0.272,71.0,124.0,3.0,2.0,2.0,2.0,1.0,*2H/D,,"$742,100 "
Will Benson,26.0,CIN,NL,-1.4,128.0,388.0,343.0,41.0,64.0,19.0,2.0,14.0,43.0,16.0,7.0,40.0,154.0,0.187,0.274,0.376,0.65,76.0,0.285,70.0,129.0,3.0,2.0,1.0,2.0,0.0,*798H/D,,"$750,000 "
Byron Buxton,30.0,MIN,AL,3.6,102.0,388.0,355.0,62.0,99.0,27.0,3.0,18.0,56.0,7.0,2.0,20.0,99.0,0.279,0.335,0.524,0.859,136.0,0.369,136.0,186.0,3.0,11.0,0.0,2.0,1.0,8/HD,,"$15,000,000 "
Nick Gonzales,25.0,PIT,NL,0.9,94.0,387.0,359.0,42.0,97.0,19.0,3.0,7.0,49.0,5.0,3.0,18.0,74.0,0.27,0.311,0.398,0.709,96.0,0.316,98.0,143.0,8.0,5.0,1.0,4.0,1.0,4/6H5,,"$564,876 "
Alejandro Kirk,25.0,TOR,AL,2.0,103.0,386.0,340.0,23.0,86.0,19.0,1.0,5.0,54.0,0.0,0.0,35.0,51.0,0.253,0.319,0.359,0.677,93.0,0.303,94.0,122.0,11.0,2.0,0.0,9.0,1.0,2/HD,,"$2,800,000 "
Jake Fraley,29.0,CIN,NL,0.3,116.0,382.0,350.0,44.0,97.0,19.0,2.0,5.0,26.0,20.0,5.0,26.0,70.0,0.277,0.33,0.386,0.716,96.0,0.319,92.0,135.0,6.0,3.0,0.0,3.0,0.0,9H/D78,,"$2,150,000 "
Spencer Horwitz,26.0,TOR,AL,1.2,97.0,381.0,328.0,46.0,87.0,19.0,0.0,12.0,40.0,0.0,0.0,42.0,70.0,0.265,0.357,0.433,0.79,124.0,0.346,125.0,142.0,8.0,7.0,0.0,4.0,2.0,34DH,,"$695,281 "
Spencer Torkelson,24.0,DET,AL,0.3,92.0,381.0,342.0,45.0,75.0,21.0,1.0,10.0,37.0,0.0,0.0,33.0,105.0,0.219,0.295,0.374,0.669,90.0,0.293,86.0,128.0,6.0,4.0,0.0,1.0,0.0,3/D,,"$456,987 "
Anthony Rizzo,34.0,NYY,AL,0.2,92.0,375.0,337.0,38.0,77.0,12.0,0.0,8.0,35.0,0.0,0.0,27.0,65.0,0.228,0.301,0.335,0.637,82.0,0.297,88.0,113.0,7.0,9.0,0.0,2.0,0.0,3/H,,"$17,000,000 "
Starling Marte,35.0,NYM,NL,0.7,94.0,370.0,335.0,46.0,90.0,13.0,3.0,7.0,40.0,16.0,1.0,27.0,81.0,0.269,0.327,0.388,0.715,105.0,0.328,107.0,130.0,8.0,3.0,3.0,2.0,1.0,9/DH,,"$19,500,000 "
Lenyn Sosa,24.0,CHW,AL,-0.4,100.0,369.0,351.0,28.0,89.0,13.0,0.0,8.0,35.0,3.0,1.0,12.0,77.0,0.254,0.283,0.359,0.642,84.0,0.282,79.0,126.0,5.0,3.0,2.0,1.0,1.0,54/H3D,,"$497,250 "
Carlos Correa,29.0,MIN,AL,3.7,86.0,367.0,319.0,55.0,99.0,20.0,2.0,14.0,54.0,0.0,0.0,40.0,61.0,0.31,0.388,0.517,0.905,151.0,0.393,155.0,165.0,5.0,3.0,0.0,4.0,4.0,6/DH,AS,"$36,100,000 "
Miguel Amaya,25.0,CHC,NL,1.9,117.0,363.0,328.0,32.0,76.0,13.0,2.0,8.0,47.0,0.0,0.0,23.0,62.0,0.232,0.288,0.357,0.644,81.0,0.292,84.0,117.0,5.0,4.0,5.0,3.0,0.0,*2/H,,"$746,500 "
Johan Rojas,23.0,PHI,NL,0.7,120.0,363.0,338.0,47.0,82.0,12.0,3.0,3.0,32.0,25.0,4.0,13.0,69.0,0.243,0.279,0.322,0.601,68.0,0.277,63.0,109.0,7.0,4.0,8.0,0.0,0.0,*8/HD,,"$700,875 "
Brandon Drury,31.0,LAA,AL,-2.0,97.0,360.0,325.0,28.0,55.0,7.0,0.0,4.0,15.0,1.0,0.0,27.0,81.0,0.169,0.242,0.228,0.469,34.0,0.228,38.0,74.0,13.0,5.0,0.0,3.0,0.0,45D3/H,,"$8,500,000 "
Willson Contreras,32.0,STL,NL,3.0,84.0,358.0,301.0,48.0,79.0,17.0,0.0,15.0,36.0,4.0,1.0,45.0,96.0,0.262,0.38,0.468,0.848,136.0,0.37,137.0,141.0,7.0,12.0,0.0,0.0,2.0,2D/H,,"$18,000,000 "
Will Brennan,26.0,CLE,AL,-0.2,114.0,353.0,330.0,37.0,87.0,13.0,2.0,8.0,30.0,4.0,2.0,19.0,48.0,0.264,0.309,0.388,0.697,98.0,0.307,96.0,128.0,9.0,3.0,0.0,1.0,2.0,97HD/8,,"$776,970 "
Gabriel Moreno,24.0,ARI,NL,2.6,97.0,351.0,305.0,39.0,81.0,18.0,1.0,5.0,45.0,3.0,1.0,41.0,52.0,0.266,0.353,0.38,0.734,105.0,0.327,105.0,116.0,10.0,2.0,0.0,3.0,1.0,2H/5,,"$1,113,259 "
Mike Tauchman,33.0,CHC,NL,0.6,109.0,350.0,298.0,50.0,74.0,12.0,1.0,7.0,29.0,6.0,2.0,47.0,70.0,0.248,0.357,0.366,0.723,106.0,0.326,108.0,109.0,7.0,4.0,0.0,1.0,0.0,9HD78,,"$1,950,000 "
Jake Bauers,28.0,MIL,NL,-0.4,116.0,346.0,302.0,45.0,60.0,9.0,2.0,12.0,43.0,13.0,1.0,39.0,118.0,0.199,0.301,0.361,0.662,84.0,0.3,80.0,109.0,0.0,5.0,0.0,0.0,1.0,3HD9/71,,"$1,350,000 "
Jake Cave,31.0,COL,NL,-0.7,123.0,346.0,323.0,42.0,81.0,16.0,5.0,7.0,37.0,5.0,2.0,18.0,98.0,0.251,0.29,0.396,0.686,83.0,0.297,77.0,128.0,6.0,1.0,1.0,3.0,1.0,*97H/8D,,"$1,000,000 "
Amed Rosario,28.0,CIN,NL,-0.6,22.0,59.0,57.0,6.0,9.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,23.0,0.158,0.186,0.211,0.397,9.0,0.221,16.0,12.0,1.0,1.0,0.0,0.0,0.0,D/9H4,,"$500,030 "
Tyrone Taylor,30.0,NYM,NL,2.0,130.0,345.0,319.0,47.0,79.0,22.0,3.0,7.0,35.0,11.0,2.0,19.0,80.0,0.248,0.299,0.401,0.701,99.0,0.317,102.0,128.0,4.0,5.0,1.0,1.0,1.0,*98H7/D,,"$2,025,000 "
Manuel Margot,29.0,MIN,AL,-0.9,129.0,343.0,315.0,37.0,75.0,17.0,1.0,4.0,31.0,5.0,0.0,21.0,54.0,0.238,0.289,0.337,0.626,75.0,0.281,72.0,106.0,10.0,3.0,1.0,3.0,0.0,*79H8/D,,"$4,000,000 "
Francisco Alvarez,22.0,NYM,NL,0.8,100.0,342.0,308.0,39.0,73.0,14.0,2.0,11.0,47.0,1.0,1.0,30.0,86.0,0.237,0.307,0.403,0.71,102.0,0.319,107.0,124.0,7.0,2.0,0.0,2.0,0.0,2/HD,,"$1,007,677 "
Travis d'Arnaud,35.0,ATL,NL,1.1,99.0,341.0,307.0,40.0,73.0,16.0,0.0,15.0,48.0,1.0,0.0,24.0,89.0,0.238,0.302,0.436,0.739,102.0,0.32,101.0,134.0,8.0,6.0,0.0,4.0,0.0,2H,,"$8,000,000 "
Kyle Tucker,27.0,HOU,AL,4.7,78.0,339.0,277.0,56.0,80.0,13.0,0.0,23.0,49.0,11.0,0.0,56.0,54.0,0.289,0.408,0.585,0.993,179.0,0.426,179.0,162.0,5.0,1.0,0.0,2.0,3.0,9/DH,AS,"$12,000,000 "
Jake Rogers,29.0,DET,AL,1.0,102.0,337.0,310.0,43.0,61.0,16.0,1.0,10.0,36.0,1.0,0.0,22.0,99.0,0.197,0.255,0.352,0.607,72.0,0.27,69.0,109.0,6.0,3.0,0.0,2.0,1.0,2/DH,,"$1,700,000 "
Miguel Rojas,35.0,LAD,NL,3.4,103.0,337.0,307.0,41.0,87.0,21.0,0.0,6.0,36.0,8.0,2.0,23.0,34.0,0.283,0.337,0.41,0.748,112.0,0.329,112.0,126.0,8.0,3.0,2.0,2.0,0.0,64H5/13,,"$5,000,000 "
Bo Bichette,26.0,TOR,AL,-0.3,81.0,336.0,311.0,29.0,70.0,16.0,1.0,4.0,31.0,5.0,1.0,20.0,64.0,0.225,0.277,0.322,0.598,70.0,0.269,68.0,100.0,12.0,3.0,0.0,2.0,1.0,6,,"$11,000,000 "
Nick Fortes,27.0,MIA,NL,0.0,110.0,335.0,308.0,28.0,70.0,16.0,0.0,4.0,29.0,0.0,1.0,11.0,41.0,0.227,0.259,0.318,0.577,58.0,0.249,44.0,98.0,6.0,4.0,7.0,5.0,0.0,*2/H,,"$759,000 "
Whit Merrifield,35.0,ATL,NL,0.2,42.0,161.0,137.0,23.0,34.0,5.0,2.0,1.0,4.0,6.0,2.0,20.0,33.0,0.248,0.348,0.336,0.684,92.0,0.323,101.0,46.0,5.0,1.0,3.0,0.0,0.0,4/H5,,"$274,482 "
Adam Duvall,35.0,ATL,NL,-1.4,104.0,330.0,303.0,29.0,55.0,10.0,0.0,11.0,30.0,0.0,0.0,21.0,99.0,0.182,0.245,0.323,0.569,57.0,0.262,59.0,98.0,6.0,5.0,0.0,1.0,0.0,79H/D,,"$3,000,000 "
Royce Lewis,25.0,MIN,AL,0.7,82.0,325.0,292.0,40.0,68.0,16.0,0.0,16.0,47.0,0.0,0.0,28.0,74.0,0.233,0.295,0.452,0.747,106.0,0.315,99.0,132.0,5.0,0.0,0.0,5.0,2.0,5D/H4,,"$745,700 "
Zach McKinstry,29.0,DET,AL,0.8,118.0,325.0,297.0,32.0,64.0,14.0,5.0,4.0,23.0,16.0,0.0,24.0,69.0,0.215,0.277,0.337,0.614,75.0,0.288,74.0,100.0,3.0,2.0,0.0,2.0,0.0,65H479/1D,,"$764,400 "
Danny Jansen,29.0,BOS,AL,0.1,30.0,96.0,80.0,8.0,15.0,0.0,0.0,3.0,6.0,0.0,0.0,15.0,19.0,0.188,0.323,0.3,0.623,77.0,0.307,90.0,24.0,3.0,1.0,0.0,0.0,0.0,2/HD,,"$1,817,204 "
Miguel Andujar,29.0,OAK,AL,0.4,75.0,319.0,302.0,31.0,86.0,14.0,1.0,4.0,30.0,3.0,2.0,13.0,42.0,0.285,0.32,0.377,0.697,103.0,0.308,103.0,114.0,10.0,3.0,0.0,1.0,0.0,7/D3H,,"$1,700,000 "
David Hamilton,26.0,BOS,AL,2.6,98.0,317.0,294.0,47.0,73.0,17.0,1.0,8.0,28.0,33.0,4.0,22.0,80.0,0.248,0.303,0.395,0.697,94.0,0.331,95.0,116.0,1.0,1.0,0.0,0.0,0.0,64H,,"$700,128 "
Christian Yelich,32.0,MIL,NL,2.2,73.0,315.0,270.0,44.0,85.0,12.0,3.0,11.0,42.0,21.0,1.0,40.0,58.0,0.315,0.406,0.504,0.909,152.0,0.404,151.0,136.0,3.0,2.0,1.0,1.0,3.0,7D,AS,"$22,050,000 "
Kevin Pillar,35.0,LAA,AL,0.3,83.0,282.0,259.0,37.0,61.0,14.0,1.0,7.0,41.0,10.0,3.0,12.0,61.0,0.236,0.291,0.378,0.669,88.0,0.298,86.0,98.0,10.0,9.0,0.0,2.0,0.0,8H79/D,,"$811,776 "
Carson Kelly,29.0,TEX,AL,-0.2,31.0,110.0,102.0,11.0,24.0,5.0,0.0,2.0,8.0,0.0,0.0,8.0,15.0,0.235,0.291,0.343,0.634,83.0,0.286,83.0,35.0,3.0,0.0,0.0,0.0,0.0,2/DH,,"$1,166,654 "
Kevin Newman,30.0,ARI,NL,2.2,111.0,311.0,288.0,41.0,80.0,17.0,1.0,3.0,28.0,8.0,1.0,15.0,48.0,0.278,0.311,0.375,0.686,91.0,0.313,92.0,108.0,7.0,0.0,6.0,2.0,1.0,643/H57D,,"$946,237 "
Rob Refsnyder,33.0,BOS,AL,0.8,93.0,307.0,272.0,32.0,77.0,16.0,1.0,11.0,40.0,2.0,2.0,28.0,78.0,0.283,0.359,0.471,0.83,131.0,0.354,126.0,128.0,6.0,5.0,0.0,1.0,2.0,79HD,,"$1,850,000 "
Emmanuel Rivera,28.0,BAL,AL,0.2,27.0,73.0,64.0,9.0,20.0,3.0,1.0,4.0,14.0,0.0,0.0,6.0,18.0,0.313,0.37,0.578,0.948,172.0,0.392,165.0,37.0,2.0,1.0,0.0,2.0,0.0,5/3HD,,"$155,142 "
Edouard Julien,25.0,MIN,AL,-0.2,94.0,301.0,266.0,36.0,53.0,9.0,0.0,8.0,21.0,6.0,0.0,33.0,102.0,0.199,0.292,0.323,0.616,73.0,0.288,76.0,86.0,2.0,2.0,0.0,0.0,0.0,4H/D3,,"$481,800 "
Parker Meadows,24.0,DET,AL,2.2,82.0,298.0,270.0,39.0,66.0,12.0,6.0,9.0,28.0,9.0,4.0,25.0,76.0,0.244,0.31,0.433,0.743,110.0,0.324,108.0,117.0,0.0,1.0,1.0,1.0,0.0,8/H,,"$782,818 "
Nolan Jones,26.0,COL,NL,-0.7,79.0,297.0,256.0,28.0,58.0,13.0,1.0,3.0,28.0,5.0,4.0,36.0,91.0,0.227,0.321,0.32,0.641,75.0,0.289,73.0,82.0,7.0,1.0,1.0,3.0,2.0,7/DH,,"$745,000 "
Kerry Carpenter,26.0,DET,AL,2.2,87.0,296.0,264.0,37.0,75.0,16.0,5.0,18.0,57.0,0.0,2.0,22.0,75.0,0.284,0.345,0.587,0.932,160.0,0.386,156.0,155.0,5.0,4.0,0.0,3.0,1.0,9DH/7,,"$1,071,609 "
Max Muncy,33.0,LAD,NL,3.0,73.0,293.0,237.0,47.0,55.0,17.0,0.0,15.0,48.0,1.0,0.0,45.0,77.0,0.232,0.358,0.494,0.852,140.0,0.361,136.0,117.0,1.0,5.0,0.0,6.0,3.0,5/H,,"$12,000,000 "
Javier Báez,31.0,DET,AL,-1.1,80.0,289.0,272.0,25.0,50.0,12.0,0.0,6.0,37.0,8.0,1.0,12.0,69.0,0.184,0.221,0.294,0.516,46.0,0.236,41.0,80.0,10.0,2.0,0.0,3.0,1.0,6/H,,"$25,000,000 "
Joey Bart,27.0,PIT,NL,2.2,80.0,282.0,253.0,38.0,67.0,11.0,0.0,13.0,45.0,0.0,0.0,22.0,73.0,0.265,0.337,0.462,0.799,120.0,0.349,121.0,117.0,8.0,6.0,0.0,1.0,0.0,2D/H,,"$712,062 "
Jacob Stallings,34.0,COL,NL,1.8,82.0,281.0,243.0,31.0,64.0,17.0,1.0,9.0,36.0,0.0,0.0,27.0,65.0,0.263,0.357,0.453,0.81,117.0,0.355,119.0,110.0,10.0,9.0,1.0,1.0,1.0,2/HD,,"$1,500,000 "
Kevin Kiermaier,34.0,LAD,NL,0.1,34.0,64.0,59.0,7.0,12.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,20.0,0.203,0.242,0.322,0.564,59.0,0.263,74.0,19.0,1.0,1.0,2.0,0.0,0.0,8/H,,"$1,840,000 "
Gary Sánchez,31.0,MIL,NL,0.2,89.0,280.0,245.0,30.0,54.0,7.0,1.0,11.0,37.0,0.0,0.0,27.0,76.0,0.22,0.307,0.392,0.699,94.0,0.312,94.0,96.0,9.0,5.0,0.0,3.0,0.0,D2H/3,,"$3,000,000 "
Randal Grichuk,32.0,ARI,NL,2.2,106.0,279.0,254.0,40.0,74.0,20.0,2.0,12.0,46.0,0.0,0.0,20.0,46.0,0.291,0.348,0.528,0.875,140.0,0.377,142.0,134.0,5.0,3.0,0.0,2.0,0.0,9DH7,,"$1,500,000 "
Tyler Nevin,27.0,OAK,AL,-0.2,87.0,278.0,245.0,22.0,50.0,10.0,0.0,7.0,20.0,1.0,0.0,25.0,64.0,0.204,0.288,0.331,0.618,80.0,0.279,80.0,81.0,5.0,5.0,0.0,3.0,0.0,359H7/D,,"$640,458 "
Edmundo Sosa,28.0,PHI,NL,2.3,90.0,274.0,249.0,39.0,64.0,12.0,4.0,7.0,31.0,7.0,1.0,13.0,66.0,0.257,0.313,0.422,0.734,104.0,0.33,107.0,105.0,5.0,8.0,1.0,2.0,0.0,654H,,"$1,700,000 "
Jonah Bride,28.0,MIA,NL,0.8,71.0,272.0,232.0,30.0,64.0,10.0,0.0,11.0,39.0,0.0,1.0,30.0,55.0,0.276,0.357,0.461,0.818,123.0,0.355,122.0,107.0,9.0,3.0,0.0,7.0,1.0,3D5/4H,,"$391,104 "
Chas McCormick,29.0,HOU,AL,-0.6,94.0,267.0,242.0,32.0,51.0,6.0,1.0,5.0,27.0,8.0,2.0,17.0,72.0,0.211,0.271,0.306,0.576,64.0,0.274,71.0,74.0,3.0,4.0,1.0,3.0,0.0,798/H,,"$2,850,000 "
Sean Murphy,29.0,ATL,NL,1.3,72.0,264.0,233.0,19.0,45.0,5.0,1.0,10.0,25.0,0.0,0.0,27.0,67.0,0.193,0.284,0.352,0.636,76.0,0.293,81.0,82.0,7.0,3.0,0.0,1.0,1.0,2/H,,"$9,000,000 "
Joey Loperfido,25.0,TOR,AL,0.2,43.0,144.0,137.0,13.0,27.0,8.0,3.0,2.0,9.0,2.0,1.0,6.0,52.0,0.197,0.236,0.343,0.579,63.0,0.263,65.0,47.0,2.0,1.0,0.0,0.0,0.0,78/H3D,,"$238,680 "
Matt Wallner,26.0,MIN,AL,2.2,75.0,261.0,220.0,26.0,57.0,17.0,1.0,13.0,37.0,3.0,0.0,24.0,95.0,0.259,0.372,0.523,0.894,148.0,0.387,149.0,115.0,2.0,16.0,0.0,1.0,0.0,97DH/1,,"$673,128 "
Iván Herrera,24.0,STL,NL,1.7,72.0,259.0,229.0,37.0,69.0,12.0,1.0,5.0,27.0,5.0,0.0,25.0,53.0,0.301,0.372,0.428,0.8,124.0,0.362,129.0,98.0,3.0,2.0,0.0,2.0,0.0,2D/H,,"$855,704 "
Jason Heyward,34.0,HOU,AL,0.3,24.0,61.0,55.0,8.0,12.0,2.0,0.0,4.0,9.0,1.0,0.0,5.0,17.0,0.218,0.283,0.473,0.756,111.0,0.316,102.0,26.0,0.0,0.0,0.0,0.0,2.0,9/7H8,,"$123,318 "
Austin Martin,25.0,MIN,AL,-1.0,93.0,257.0,233.0,41.0,59.0,18.0,1.0,1.0,16.0,7.0,3.0,20.0,47.0,0.253,0.318,0.352,0.67,88.0,0.299,87.0,82.0,4.0,2.0,2.0,0.0,0.0,78H4/D,,"$560,898 "
Austin Hays,28.0,PHI,NL,-0.3,22.0,80.0,78.0,8.0,20.0,5.0,0.0,2.0,6.0,2.0,1.0,0.0,19.0,0.256,0.275,0.397,0.672,86.0,0.286,79.0,31.0,1.0,2.0,0.0,0.0,0.0,7/H,,"$2,201,615 "
Chris Taylor,33.0,LAD,NL,-0.1,87.0,246.0,213.0,28.0,43.0,7.0,1.0,4.0,23.0,5.0,1.0,28.0,76.0,0.202,0.298,0.3,0.598,72.0,0.289,82.0,64.0,5.0,2.0,1.0,2.0,0.0,754H/8,,"$13,000,000 "
Triston Casas,24.0,BOS,AL,0.6,63.0,243.0,212.0,28.0,51.0,8.0,0.0,13.0,32.0,0.0,1.0,30.0,77.0,0.241,0.337,0.462,0.8,122.0,0.34,116.0,98.0,6.0,1.0,0.0,0.0,4.0,3/HD,,"$760,000 "
Kyle Farmer,33.0,MIN,AL,-0.3,107.0,242.0,215.0,26.0,46.0,13.0,1.0,5.0,25.0,3.0,5.0,19.0,49.0,0.214,0.293,0.353,0.647,81.0,0.281,80.0,76.0,6.0,6.0,0.0,2.0,1.0,45H6/13D,,"$6,250,000 "
Dominic Fletcher,26.0,CHW,AL,-0.3,72.0,241.0,223.0,14.0,46.0,8.0,0.0,1.0,17.0,0.0,0.0,11.0,58.0,0.206,0.252,0.256,0.508,47.0,0.225,38.0,57.0,5.0,3.0,2.0,1.0,1.0,98/H7,,"$595,106 "
Anthony Rendon,34.0,LAA,AL,0.6,57.0,238.0,206.0,21.0,45.0,10.0,0.0,0.0,14.0,6.0,1.0,23.0,35.0,0.218,0.307,0.267,0.574,65.0,0.283,75.0,55.0,4.0,5.0,0.0,4.0,0.0,5/D,,"$38,000,000 "
Miguel Vargas,24.0,CHW,AL,-1.0,42.0,157.0,135.0,11.0,14.0,3.0,0.0,2.0,7.0,2.0,1.0,17.0,41.0,0.104,0.217,0.17,0.387,14.0,0.205,25.0,23.0,3.0,3.0,0.0,2.0,0.0,5/D7H,,"$246,636 "
Jose Trevino,31.0,NYY,AL,0.6,73.0,234.0,209.0,26.0,45.0,5.0,0.0,8.0,28.0,1.0,0.0,20.0,41.0,0.215,0.288,0.354,0.642,82.0,0.287,80.0,74.0,12.0,2.0,1.0,2.0,0.0,2/H1,,"$2,730,000 "
Stuart Fairchild,28.0,CIN,NL,1.0,94.0,233.0,209.0,33.0,45.0,8.0,0.0,8.0,30.0,13.0,1.0,17.0,60.0,0.215,0.286,0.368,0.654,78.0,0.314,83.0,77.0,1.0,4.0,2.0,1.0,0.0,8H97/D,,"$750,000 "
James McCann,34.0,BAL,AL,0.8,65.0,233.0,214.0,27.0,50.0,9.0,0.0,8.0,31.0,1.0,0.0,13.0,56.0,0.234,0.279,0.388,0.667,93.0,0.293,93.0,83.0,3.0,2.0,0.0,4.0,0.0,2/1,,"$4,000,000 "
Justyn-Henry Malloy,24.0,DET,AL,-0.4,71.0,230.0,202.0,18.0,41.0,7.0,1.0,8.0,21.0,1.0,1.0,23.0,85.0,0.203,0.291,0.366,0.658,87.0,0.289,84.0,74.0,2.0,3.0,0.0,2.0,0.0,D7H/9,,"$417,690 "
